Country,Cultural sites,Natural sites,Mixed sites,Total sites,Shared sites[3],UNESCO region[4]
Afghanistan,2,0,0,2,0,Asia and the Pacific
Albania,2,1,1,4,2,Europe and North America
Algeria,6,0,1,7,0,Arab States
Andorra,1,0,0,1,0,Europe and North America
Angola,1,0,0,1,0,Africa
Antigua and Barbuda,1,0,0,1,0,Latin America & the Caribbean
Argentina,7,5,0,12,3,Latin America & the Caribbean
Armenia,3,0,0,3,0,Europe and North America
Australia,4,12,4,20,0,Asia and the Pacific
Austria,11,1,0,12,5,Europe and North America
Azerbaijan,4,1,0,5,1,Europe and North America
Bahrain,3,0,0,3,0,Arab States
Bangladesh,2,1,0,3,0,Asia and the Pacific
Barbados,1,0,0,1,0,Latin America & the Caribbean
Belarus,3,1,0,4,2,Europe and North America
Belgium,15,1,0,16,6,Europe and North America
Belize,0,1,0,1,0,Latin America & the Caribbean
Benin,2,1,0,3,2,Africa
Bolivia,6,1,0,7,1,Latin America & the Caribbean
Bosnia and Herzegovina,3,2,0,5,2,Europe and North America
Botswana,1,1,0,2,0,Africa
Brazil,15,8,1,24,1,Latin America & the Caribbean
Bulgaria,7,3,0,10,1,Europe and North America
Burkina Faso,3,1,0,4,1,Africa
Cambodia,4,0,0,4,0,Asia and the Pacific
Cameroon,0,2,0,2,1,Africa
Canada,10,11,1,22,2,Europe and North America
Cape Verde,1,0,0,1,0,Africa
Central African Republic,0,2,0,2,1,Africa
Chad,0,1,1,2,0,Africa
Chile,7,0,0,7,1,Latin America & the Caribbean
China,40,15,4,59,1,Asia and the Pacific
Colombia,6,2,1,9,1,Latin America & the Caribbean
Costa Rica,1,3,0,4,1,Latin America & the Caribbean
Côte d'Ivoire,2,3,0,5,1,Africa
Croatia,8,2,0,10,3,Europe and North America
Cuba,7,2,0,9,0,Latin America & the Caribbean
Cyprus,3,0,0,3,0,Europe and North America
Czech Republic,16,1,0,17,3,Europe and North America
Democratic Republic of the Congo,0,5,0,5,0,Africa
Denmark,8,3,0,11,2,Europe and North America
Dominica,0,1,0,1,0,Latin America & the Caribbean
